Prot_A,Prot_B,Interaction_score,Disease
SLC6A4,HTR6,0.465,Alzheimer's Disease
SLC6A4,CYP2C19,0.56,Alzheimer's Disease
SLC6A4,CPX-2175,0.726,Alzheimer's Disease
SLC6A4,DRD1,0.763,Alzheimer's Disease
SLC6A4,MAOB,0.868,Alzheimer's Disease
SLC6A4,DRD2,0.91,Alzheimer's Disease
SLC6A4,MAOA,0.942,Alzheimer's Disease
SLC6A4,HTR2A,0.961,Alzheimer's Disease
SLC6A4,HTR1A,0.968,Alzheimer's Disease
GNB5,SRC,0.598,Alzheimer's Disease
GNB5,ADORA2B,0.632,Alzheimer's Disease
GNB5,GNB2,0.73,Alzheimer's Disease
GNB5,HTR1A,0.76,Alzheimer's Disease
GNB5,CPX-8432,0.842,Alzheimer's Disease
GNB5,GNAL,0.852,Alzheimer's Disease
GNB5,DRD2,0.935,Alzheimer's Disease
GNB5,GNAS,0.959,Alzheimer's Disease
IDE,CYP2C19,0.406,Alzheimer's Disease
QDPR,MAOA,0.57,Alzheimer's Disease
QDPR,MAOB,0.592,Alzheimer's Disease
QDPR,CPX-3156,0.701,Alzheimer's Disease
HTR6,ADORA2B,0.441,Alzheimer's Disease
HTR6,HTR4,0.463,Alzheimer's Disease
HTR6,SRC,0.499,Alzheimer's Disease
HTR6,CPX-2175,0.597,Alzheimer's Disease
HTR6,GNAL,0.716,Alzheimer's Disease
HTR6,CPX-8432,0.818,Alzheimer's Disease
HTR6,GNAS,0.992,Alzheimer's Disease
ADORA2B,HTR4,0.41,Alzheimer's Disease
ADORA2B,DRD1,0.448,Alzheimer's Disease
ADORA2B,SRC,0.539,Alzheimer's Disease
ADORA2B,CPX-8432,0.63,Alzheimer's Disease
ADORA2B,GNB2,0.63,Alzheimer's Disease
ADORA2B,GNAL,0.787,Alzheimer's Disease
ADORA2B,GNAS,0.954,Alzheimer's Disease
GNB2,SRC,0.585,Alzheimer's Disease
GNB2,HTR1A,0.746,Alzheimer's Disease
GNB2,DRD2,0.789,Alzheimer's Disease
GNB2,GNAL,0.874,Alzheimer's Disease
GNB2,CPX-8432,0.939,Alzheimer's Disease
GNB2,GNAS,0.986,Alzheimer's Disease
LEP,DRD2,0.448,Alzheimer's Disease
LEP,SRC,0.539,Alzheimer's Disease
HTR1A,CYP2C19,0.403,Alzheimer's Disease
HTR1A,DRD1,0.543,Alzheimer's Disease
HTR1A,DRD2,0.56,Alzheimer's Disease
HTR1A,MAOB,0.735,Alzheimer's Disease
HTR1A,CPX-2175,0.748,Alzheimer's Disease
HTR1A,MAOA,0.861,Alzheimer's Disease
HTR1A,HTR2A,0.92,Alzheimer's Disease
HTR1A,CPX-8432,0.973,Alzheimer's Disease
GNAL,HTR2A,0.493,Alzheimer's Disease
GNAL,DRD2,0.538,Alzheimer's Disease
GNAL,HTR4,0.615,Alzheimer's Disease
GNAL,GNAS,0.975,Alzheimer's Disease
GNAL,CPX-8432,0.978,Alzheimer's Disease
GNAL,DRD1,0.984,Alzheimer's Disease
MAOA,CPX-2175,0.554,Alzheimer's Disease
MAOA,DRD1,0.628,Alzheimer's Disease
MAOA,DRD2,0.736,Alzheimer's Disease
MAOA,HTR2A,0.786,Alzheimer's Disease
MAOA,CYP2C19,0.948,Alzheimer's Disease
MAOA,MAOB,0.965,Alzheimer's Disease
CPX-2175,DRD1,0.445,Alzheimer's Disease
CPX-2175,MAOB,0.464,Alzheimer's Disease
CPX-2175,DRD2,0.627,Alzheimer's Disease
CPX-2175,HTR2A,0.881,Alzheimer's Disease
HTR4,SRC,0.529,Alzheimer's Disease
HTR4,GNAS,0.897,Alzheimer's Disease
HTR4,CPX-8432,0.926,Alzheimer's Disease
DRD2,CTNNA3,0.44,Alzheimer's Disease
DRD2,DRD1,0.63,Alzheimer's Disease
DRD2,GNAS,0.639,Alzheimer's Disease
DRD2,MAOB,0.647,Alzheimer's Disease
DRD2,HTR2A,0.799,Alzheimer's Disease
DRD2,CPX-8432,0.991,Alzheimer's Disease
CPX-3156,CTNNA3,0.488,Alzheimer's Disease
GNAS,HTR2A,0.932,Alzheimer's Disease
GNAS,SRC,0.942,Alzheimer's Disease
GNAS,DRD1,0.994,Alzheimer's Disease
GNAS,CPX-8432,0.999,Alzheimer's Disease
CYP2C19,GRIP1,0.428,Alzheimer's Disease
CYP2C19,HTR2A,0.51,Alzheimer's Disease
CYP2C19,MAOB,0.944,Alzheimer's Disease
SRC,HTR2A,0.416,Alzheimer's Disease
SRC,DRD1,0.573,Alzheimer's Disease
SRC,CPX-8432,0.613,Alzheimer's Disease
MAOB,DRD1,0.59,Alzheimer's Disease
MAOB,HTR2A,0.687,Alzheimer's Disease
CPX-8432,HTR2A,0.824,Alzheimer's Disease
CPX-8432,DRD1,0.927,Alzheimer's Disease
DRD4,NOS1AP,0.406,Alzheimer's Disease
DRD4,POMC,0.419,Alzheimer's Disease
DRD4,PRODH,0.423,Alzheimer's Disease
DRD4,MC4R,0.447,Alzheimer's Disease
DRD4,CPX-168,0.45,Alzheimer's Disease
DRD4,DAO,0.457,Alzheimer's Disease
DRD4,SLC18A2,0.475,Alzheimer's Disease
DRD4,ADRB2,0.477,Alzheimer's Disease
DRD4,RGS4,0.48,Alzheimer's Disease
DRD4,CPX-285,0.482,Alzheimer's Disease
DRD4,AGTR2,0.543,Alzheimer's Disease
DRD4,AGT,0.55,Alzheimer's Disease
DRD4,NPY2R,0.553,Alzheimer's Disease
DRD4,DRD5,0.577,Alzheimer's Disease
DRD4,CPX-1910,0.6,Alzheimer's Disease
DRD4,CPX-2159,0.608,Alzheimer's Disease
DRD4,MTHFR,0.629,Alzheimer's Disease
DRD4,SLC6A2,0.645,Alzheimer's Disease
DRD4,DAOA,0.649,Alzheimer's Disease
DRD4,AVPR1A,0.649,Alzheimer's Disease
DRD4,SNAP25,0.658,Alzheimer's Disease
DRD4,TH,0.708,Alzheimer's Disease
DRD4,GNAI3,0.724,Alzheimer's Disease
DRD4,GNAI2,0.73,Alzheimer's Disease
DRD4,DBH,0.784,Alzheimer's Disease
DRD4,COMT,0.942,Alzheimer's Disease
DRD4,DRD3,0.943,Alzheimer's Disease
DRD4,SLC6A3,0.96,Alzheimer's Disease
SLC6A2,CPX-168,0.404,Alzheimer's Disease
SLC6A2,SNAP25,0.466,Alzheimer's Disease
SLC6A2,ADRB2,0.471,Alzheimer's Disease
SLC6A2,DRD5,0.506,Alzheimer's Disease
SLC6A2,DRD1,0.514,Alzheimer's Disease
SLC6A2,DRD3,0.521,Alzheimer's Disease
SLC6A2,DRD2,0.632,Alzheimer's Disease
SLC6A2,MAOB,0.685,Alzheimer's Disease
SLC6A2,COMT,0.696,Alzheimer's Disease
SLC6A2,DBH,0.723,Alzheimer's Disease
SLC6A2,MAOA,0.738,Alzheimer's Disease
SLC6A2,TH,0.771,Alzheimer's Disease
SLC6A2,SLC18A2,0.815,Alzheimer's Disease
DAO,CPX-4101,0.409,Alzheimer's Disease
DAO,GNAL,0.424,Alzheimer's Disease
DAO,DRD2,0.439,Alzheimer's Disease
DAO,MAOA,0.447,Alzheimer's Disease
DAO,SLC6A4,0.471,Alzheimer's Disease
DAO,CPX-2202,0.477,Alzheimer's Disease
DAO,DRD1,0.488,Alzheimer's Disease
DAO,MAOB,0.489,Alzheimer's Disease
DAO,CPX-285,0.491,Alzheimer's Disease
DAO,DRD3,0.522,Alzheimer's Disease
DAO,NOS1AP,0.533,Alzheimer's Disease
DAO,CPX-2159,0.579,Alzheimer's Disease
DAO,COMT,0.607,Alzheimer's Disease
DAO,RGS4,0.63,Alzheimer's Disease
DAO,MTHFR,0.633,Alzheimer's Disease
DAO,DISC1,0.682,Alzheimer's Disease
DAO,PRODH,0.691,Alzheimer's Disease
DAO,CPX-1910,0.779,Alzheimer's Disease
DAO,DAOA,0.987,Alzheimer's Disease
GNB3,COMT,0.416,Alzheimer's Disease
GNB3,AVPR1A,0.44,Alzheimer's Disease
GNB3,MTHFR,0.506,Alzheimer's Disease
GNB3,CPX-1062,0.538,Alzheimer's Disease
GNB3,AGTR2,0.572,Alzheimer's Disease
GNB3,RGS4,0.683,Alzheimer's Disease
GNB3,AGT,0.684,Alzheimer's Disease
GNB3,MC4R,0.686,Alzheimer's Disease
GNB3,PRKCB,0.688,Alzheimer's Disease
GNB3,ADRB2,0.703,Alzheimer's Disease
GNB3,POMC,0.732,Alzheimer's Disease
GNB3,AGTR1,0.737,Alzheimer's Disease
GNB3,GLP1R,0.751,Alzheimer's Disease
GNB3,DRD3,0.864,Alzheimer's Disease
GNB3,GNAI3,0.89,Alzheimer's Disease
GNB3,CXCR4,0.916,Alzheimer's Disease
GNB3,GNAO1,0.92,Alzheimer's Disease
GNB3,GNAI2,0.947,Alzheimer's Disease
GNB4,AGT,0.51,Alzheimer's Disease
GNB4,CPX-1062,0.518,Alzheimer's Disease
GNB4,ADRB2,0.54,Alzheimer's Disease
GNB4,AGTR1,0.545,Alzheimer's Disease
GNB4,AGTR2,0.545,Alzheimer's Disease
GNB4,POMC,0.546,Alzheimer's Disease
GNB4,GLP1R,0.626,Alzheimer's Disease
GNB4,RGS4,0.639,Alzheimer's Disease
GNB4,PRKCB,0.705,Alzheimer's Disease
GNB4,DRD3,0.741,Alzheimer's Disease
GNB4,MC4R,0.759,Alzheimer's Disease
GNB4,CXCR4,0.922,Alzheimer's Disease
GNB4,GNAO1,0.947,Alzheimer's Disease
GNB4,GNAI2,0.977,Alzheimer's Disease
GNB4,GNAI3,0.989,Alzheimer's Disease
SNAP25,RGS4,0.407,Alzheimer's Disease
SNAP25,GNB2,0.409,Alzheimer's Disease
SNAP25,GNB5,0.417,Alzheimer's Disease
SNAP25,DRD3,0.419,Alzheimer's Disease
SNAP25,TH,0.422,Alzheimer's Disease
SNAP25,COMT,0.428,Alzheimer's Disease
SNAP25,CPX-2159,0.441,Alzheimer's Disease
SNAP25,DRD1,0.451,Alzheimer's Disease
SNAP25,GNAO1,0.455,Alzheimer's Disease
SNAP25,CPX-168,0.499,Alzheimer's Disease
SNAP25,CPX-8432,0.499,Alzheimer's Disease
SNAP25,GNAI2,0.507,Alzheimer's Disease
SNAP25,DRD2,0.516,Alzheimer's Disease
SNAP25,SLC6A4,0.524,Alzheimer's Disease
SNAP25,CPX-2202,0.538,Alzheimer's Disease
SNAP25,CPX-285,0.559,Alzheimer's Disease
SNAP25,CPX-1062,0.564,Alzheimer's Disease
SNAP25,SLC6A3,0.588,Alzheimer's Disease
SNAP25,CAMK2A,0.589,Alzheimer's Disease
SNAP25,DRD5,0.638,Alzheimer's Disease
SNAP25,CPX-1910,0.642,Alzheimer's Disease
SNAP25,SLC18A2,0.71,Alzheimer's Disease
SNAP25,CPX-4101,0.753,Alzheimer's Disease
SLC6A4,GRM2,0.4,Alzheimer's Disease
SLC6A4,SLC6A3,0.431,Alzheimer's Disease
SLC6A4,CPX-1910,0.434,Alzheimer's Disease
SLC6A4,NOS1AP,0.45,Alzheimer's Disease
SLC6A4,CPX-2202,0.46,Alzheimer's Disease
SLC6A4,ADRB2,0.469,Alzheimer's Disease
SLC6A4,DISC1,0.476,Alzheimer's Disease
SLC6A4,CPX-168,0.536,Alzheimer's Disease
SLC6A4,CPX-285,0.542,Alzheimer's Disease
SLC6A4,DAOA,0.598,Alzheimer's Disease
SLC6A4,POMC,0.601,Alzheimer's Disease
SLC6A4,DBH,0.611,Alzheimer's Disease
SLC6A4,DRD5,0.643,Alzheimer's Disease
SLC6A4,CYP1A2,0.651,Alzheimer's Disease
SLC6A4,TH,0.656,Alzheimer's Disease
SLC6A4,AVPR1A,0.659,Alzheimer's Disease
SLC6A4,MTHFR,0.679,Alzheimer's Disease
SLC6A4,DRD3,0.787,Alzheimer's Disease
SLC6A4,SLC18A2,0.886,Alzheimer's Disease
SLC6A4,COMT,0.943,Alzheimer's Disease
GNB5,MC4R,0.508,Alzheimer's Disease
GNB5,AGT,0.522,Alzheimer's Disease
GNB5,AGTR2,0.545,Alzheimer's Disease
GNB5,AGTR1,0.545,Alzheimer's Disease
GNB5,POMC,0.546,Alzheimer's Disease
GNB5,GLP1R,0.612,Alzheimer's Disease
GNB5,CPX-1062,0.688,Alzheimer's Disease
GNB5,PRKCB,0.718,Alzheimer's Disease
GNB5,DRD3,0.745,Alzheimer's Disease
GNB5,GNAI3,0.855,Alzheimer's Disease
GNB5,GNAI2,0.911,Alzheimer's Disease
GNB5,CXCR4,0.923,Alzheimer's Disease
GNB5,GNAO1,0.935,Alzheimer's Disease
GNB5,RGS4,0.949,Alzheimer's Disease
GNAO1,CPX-1062,0.45,Alzheimer's Disease
GNAO1,GRM2,0.453,Alzheimer's Disease
GNAO1,ADRB2,0.454,Alzheimer's Disease
GNAO1,SRC,0.466,Alzheimer's Disease
GNAO1,CAMK2A,0.489,Alzheimer's Disease
GNAO1,GNAL,0.625,Alzheimer's Disease
GNAO1,GNAS,0.632,Alzheimer's Disease
GNAO1,DRD3,0.719,Alzheimer's Disease
GNAO1,GLP1R,0.734,Alzheimer's Disease
GNAO1,GNB2,0.869,Alzheimer's Disease
GNAO1,GNAI2,0.89,Alzheimer's Disease
GNAO1,GNAI3,0.904,Alzheimer's Disease
GNAO1,CPX-8432,0.908,Alzheimer's Disease
GNAO1,DRD2,0.95,Alzheimer's Disease
GNAO1,RGS4,0.989,Alzheimer's Disease
SLC6A3,CPX-2175,0.428,Alzheimer's Disease
SLC6A3,GRM2,0.44,Alzheimer's Disease
SLC6A3,CPX-2202,0.46,Alzheimer's Disease
SLC6A3,CPX-1062,0.479,Alzheimer's Disease
SLC6A3,DISC1,0.479,Alzheimer's Disease
SLC6A3,GNAL,0.483,Alzheimer's Disease
SLC6A3,POMC,0.502,Alzheimer's Disease
SLC6A3,CPX-2159,0.514,Alzheimer's Disease
SLC6A3,ADORA2A,0.537,Alzheimer's Disease
SLC6A3,CPX-285,0.553,Alzheimer's Disease
SLC6A3,CPX-168,0.608,Alzheimer's Disease
SLC6A3,DRD3,0.784,Alzheimer's Disease
SLC6A3,DBH,0.815,Alzheimer's Disease
SLC6A3,DRD5,0.84,Alzheimer's Disease
SLC6A3,MAOB,0.882,Alzheimer's Disease
SLC6A3,MAOA,0.89,Alzheimer's Disease
SLC6A3,DRD1,0.906,Alzheimer's Disease
SLC6A3,PRKCB,0.917,Alzheimer's Disease
SLC6A3,COMT,0.917,Alzheimer's Disease
SLC6A3,CAMK2A,0.949,Alzheimer's Disease
SLC6A3,TH,0.95,Alzheimer's Disease
SLC6A3,SLC18A2,0.966,Alzheimer's Disease
SLC6A3,DRD2,0.999,Alzheimer's Disease
CPX-2159,MTHFR,0.4,Alzheimer's Disease
CPX-2159,GNAL,0.465,Alzheimer's Disease
CPX-2159,DRD2,0.465,Alzheimer's Disease
CPX-2159,NOS1AP,0.488,Alzheimer's Disease
CPX-2159,PRODH,0.488,Alzheimer's Disease
CPX-2159,DISC1,0.511,Alzheimer's Disease
CPX-2159,RGS4,0.53,Alzheimer's Disease
CPX-2159,CPX-168,0.586,Alzheimer's Disease
CPX-2159,CPX-1910,0.586,Alzheimer's Disease
CPX-2159,CPX-285,0.589,Alzheimer's Disease
CPX-2159,DRD3,0.608,Alzheimer's Disease
CPX-2159,DAOA,0.608,Alzheimer's Disease
CPX-2159,DRD1,0.62,Alzheimer's Disease
CPX-2159,CPX-4101,0.633,Alzheimer's Disease
CPX-1062,MAOA,0.491,Alzheimer's Disease
CPX-1062,TH,0.506,Alzheimer's Disease
CPX-1062,DRD3,0.518,Alzheimer's Disease
CPX-1062,CXCR4,0.524,Alzheimer's Disease
CPX-1062,GNB2,0.525,Alzheimer's Disease
CPX-1062,LINGO1,0.539,Alzheimer's Disease
CPX-1062,CAMK2A,0.551,Alzheimer's Disease
CPX-1062,AGTR2,0.554,Alzheimer's Disease
CPX-1062,MAOB,0.589,Alzheimer's Disease
CPX-1062,ADRB2,0.591,Alzheimer's Disease
CPX-1062,RGS4,0.62,Alzheimer's Disease
CPX-1062,AGT,0.627,Alzheimer's Disease
CPX-1062,CPX-4101,0.653,Alzheimer's Disease
CPX-1062,AGTR1,0.734,Alzheimer's Disease
CPX-1062,GNAI2,0.813,Alzheimer's Disease
CPX-1062,CPX-2202,0.848,Alzheimer's Disease
CPX-1062,SRC,0.864,Alzheimer's Disease
CPX-1062,CPX-285,0.872,Alzheimer's Disease
CPX-1062,DISC1,0.873,Alzheimer's Disease
CPX-1062,CPX-8432,0.932,Alzheimer's Disease
AVPR1A,DRD3,0.411,Alzheimer's Disease
AVPR1A,DRD1,0.44,Alzheimer's Disease
AVPR1A,MAOA,0.442,Alzheimer's Disease
AVPR1A,COMT,0.454,Alzheimer's Disease
AVPR1A,CXCR4,0.612,Alzheimer's Disease
AVPR1A,AGTR1,0.673,Alzheimer's Disease
AVPR1A,GNAS,0.747,Alzheimer's Disease
AVPR1A,POMC,0.786,Alzheimer's Disease
AVPR1A,AGT,0.829,Alzheimer's Disease
MC4R,DRD5,0.417,Alzheimer's Disease
MC4R,DRD3,0.479,Alzheimer's Disease
MC4R,DRD2,0.532,Alzheimer's Disease
MC4R,TH,0.552,Alzheimer's Disease
MC4R,SRC,0.565,Alzheimer's Disease
MC4R,GNB2,0.606,Alzheimer's Disease
MC4R,GLP1R,0.674,Alzheimer's Disease
MC4R,NPY2R,0.691,Alzheimer's Disease
MC4R,CPX-8432,0.759,Alzheimer's Disease
MC4R,GNAL,0.771,Alzheimer's Disease
MC4R,GNAS,0.938,Alzheimer's Disease
MC4R,POMC,0.999,Alzheimer's Disease
GNB2,ADRB2,0.487,Alzheimer's Disease
GNB2,AGT,0.51,Alzheimer's Disease
GNB2,AGTR2,0.545,Alzheimer's Disease
GNB2,POMC,0.546,Alzheimer's Disease
GNB2,AGTR1,0.576,Alzheimer's Disease
GNB2,RGS4,0.62,Alzheimer's Disease
GNB2,GLP1R,0.626,Alzheimer's Disease
GNB2,PRKCB,0.704,Alzheimer's Disease
GNB2,DRD3,0.848,Alzheimer's Disease
GNB2,CXCR4,0.917,Alzheimer's Disease
GNB2,GNAI2,0.982,Alzheimer's Disease
GNB2,GNAI3,0.983,Alzheimer's Disease
ADRB2,MAOA,0.402,Alzheimer's Disease
ADRB2,CAMK2A,0.406,Alzheimer's Disease
ADRB2,GRM2,0.411,Alzheimer's Disease
ADRB2,CPX-117,0.479,Alzheimer's Disease
ADRB2,DBH,0.48,Alzheimer's Disease
ADRB2,DRD3,0.483,Alzheimer's Disease
ADRB2,TH,0.493,Alzheimer's Disease
ADRB2,CPX-285,0.503,Alzheimer's Disease
ADRB2,CPX-2202,0.506,Alzheimer's Disease
ADRB2,COMT,0.511,Alzheimer's Disease
ADRB2,ADORA2A,0.514,Alzheimer's Disease
ADRB2,GLP1R,0.57,Alzheimer's Disease
ADRB2,POMC,0.68,Alzheimer's Disease
ADRB2,CPX-8432,0.682,Alzheimer's Disease
ADRB2,AGT,0.701,Alzheimer's Disease
ADRB2,CXCR4,0.826,Alzheimer's Disease
ADRB2,GNAL,0.839,Alzheimer's Disease
ADRB2,AGTR1,0.873,Alzheimer's Disease
ADRB2,GNAI3,0.925,Alzheimer's Disease
ADRB2,GNAI2,0.948,Alzheimer's Disease
ADRB2,SRC,0.955,Alzheimer's Disease
ADRB2,GNAS,0.993,Alzheimer's Disease
DRD5,NPY2R,0.433,Alzheimer's Disease
DRD5,MAOB,0.491,Alzheimer's Disease
DRD5,SRC,0.503,Alzheimer's Disease
DRD5,TH,0.508,Alzheimer's Disease
DRD5,SLC18A2,0.516,Alzheimer's Disease
DRD5,CPX-168,0.527,Alzheimer's Disease
DRD5,DRD3,0.569,Alzheimer's Disease
DRD5,DRD2,0.595,Alzheimer's Disease
DRD5,MAOA,0.61,Alzheimer's Disease
DRD5,DBH,0.636,Alzheimer's Disease
DRD5,COMT,0.659,Alzheimer's Disease
DRD5,DRD1,0.818,Alzheimer's Disease
DRD5,POMC,0.918,Alzheimer's Disease
DRD5,GNAL,0.949,Alzheimer's Disease
DRD5,GNAS,0.958,Alzheimer's Disease
GNAI2,AGT,0.538,Alzheimer's Disease
GNAI2,AGTR2,0.545,Alzheimer's Disease
GNAI2,GNAS,0.626,Alzheimer's Disease
GNAI2,PRKCB,0.73,Alzheimer's Disease
GNAI2,GNAL,0.746,Alzheimer's Disease
GNAI2,DRD3,0.757,Alzheimer's Disease
GNAI2,RGS4,0.808,Alzheimer's Disease
GNAI2,GRM2,0.91,Alzheimer's Disease
GNAI2,SRC,0.92,Alzheimer's Disease
GNAI2,CXCR4,0.923,Alzheimer's Disease
GNAI2,CPX-8432,0.975,Alzheimer's Disease
GNAI2,DRD2,0.985,Alzheimer's Disease
GNAI2,GNAI3,0.992,Alzheimer's Disease
CPX-2202,TH,0.423,Alzheimer's Disease
CPX-2202,DRD3,0.49,Alzheimer's Disease
CPX-2202,DISC1,0.507,Alzheimer's Disease
CPX-2202,CPX-168,0.509,Alzheimer's Disease
CPX-2202,CPX-4101,0.617,Alzheimer's Disease
CPX-2202,DRD2,0.618,Alzheimer's Disease
CPX-2202,GRM2,0.682,Alzheimer's Disease
CPX-2202,DRD1,0.772,Alzheimer's Disease
CPX-2202,CPX-2175,0.84,Alzheimer's Disease
CPX-2202,SRC,0.963,Alzheimer's Disease
CPX-2202,CAMK2A,0.968,Alzheimer's Disease
CPX-2202,CPX-285,0.999,Alzheimer's Disease
NPY2R,DRD3,0.407,Alzheimer's Disease
NPY2R,SRC,0.503,Alzheimer's Disease
NPY2R,AGTR2,0.519,Alzheimer's Disease
NPY2R,AGTR1,0.538,Alzheimer's Disease
NPY2R,AGT,0.581,Alzheimer's Disease
NPY2R,DRD2,0.671,Alzheimer's Disease
NPY2R,GLP1R,0.711,Alzheimer's Disease
NPY2R,POMC,0.828,Alzheimer's Disease
NPY2R,CPX-8432,0.843,Alzheimer's Disease
GNAL,NOS1AP,0.422,Alzheimer's Disease
GNAL,DAOA,0.424,Alzheimer's Disease
GNAL,RGS4,0.431,Alzheimer's Disease
GNAL,GLP1R,0.447,Alzheimer's Disease
GNAL,POMC,0.462,Alzheimer's Disease
GNAL,DRD3,0.591,Alzheimer's Disease
GNAL,GNAI3,0.761,Alzheimer's Disease
GNAL,ADORA2A,0.949,Alzheimer's Disease
MAOA,MTHFR,0.42,Alzheimer's Disease
MAOA,CPX-285,0.447,Alzheimer's Disease
MAOA,CYP1A2,0.54,Alzheimer's Disease
MAOA,POMC,0.541,Alzheimer's Disease
MAOA,DRD3,0.64,Alzheimer's Disease
MAOA,TH,0.785,Alzheimer's Disease
MAOA,SLC18A2,0.793,Alzheimer's Disease
MAOA,DBH,0.987,Alzheimer's Disease
MAOA,COMT,0.996,Alzheimer's Disease
CPX-1910,DRD3,0.593,Alzheimer's Disease
CPX-1910,NOS1AP,0.634,Alzheimer's Disease
CPX-1910,PRODH,0.646,Alzheimer's Disease
CPX-1910,DRD2,0.671,Alzheimer's Disease
CPX-1910,RGS4,0.744,Alzheimer's Disease
CPX-1910,COMT,0.82,Alzheimer's Disease
CPX-1910,DAOA,0.866,Alzheimer's Disease
CPX-1910,DISC1,0.953,Alzheimer's Disease
CYP1A2,ADORA2A,0.421,Alzheimer's Disease
CYP1A2,MTHFR,0.429,Alzheimer's Disease
CYP1A2,TH,0.43,Alzheimer's Disease
CYP1A2,MAOB,0.539,Alzheimer's Disease
CYP1A2,DRD3,0.552,Alzheimer's Disease
CYP1A2,COMT,0.608,Alzheimer's Disease
LINGO1,TH,0.486,Alzheimer's Disease
LINGO1,CAMK2A,0.49,Alzheimer's Disease
LINGO1,DRD3,0.496,Alzheimer's Disease
CPX-2175,DBH,0.427,Alzheimer's Disease
CPX-2175,GLP1R,0.438,Alzheimer's Disease
CPX-2175,COMT,0.48,Alzheimer's Disease
CPX-2175,DRD3,0.518,Alzheimer's Disease
CPX-2175,CPX-285,0.818,Alzheimer's Disease
PRODH,CPX-4101,0.416,Alzheimer's Disease
PRODH,DRD3,0.525,Alzheimer's Disease
PRODH,NOS1AP,0.571,Alzheimer's Disease
PRODH,RGS4,0.6,Alzheimer's Disease
PRODH,DISC1,0.606,Alzheimer's Disease
PRODH,DAOA,0.628,Alzheimer's Disease
PRODH,COMT,0.89,Alzheimer's Disease
COMT,ADORA2A,0.405,Alzheimer's Disease
COMT,CPX-285,0.479,Alzheimer's Disease
COMT,POMC,0.489,Alzheimer's Disease
COMT,NOS1AP,0.511,Alzheimer's Disease
COMT,CPX-168,0.517,Alzheimer's Disease
COMT,RGS4,0.572,Alzheimer's Disease
COMT,SLC18A2,0.672,Alzheimer's Disease
COMT,DISC1,0.715,Alzheimer's Disease
COMT,DRD1,0.715,Alzheimer's Disease
COMT,DAOA,0.745,Alzheimer's Disease
COMT,DRD3,0.783,Alzheimer's Disease
COMT,TH,0.789,Alzheimer's Disease
COMT,MTHFR,0.791,Alzheimer's Disease
COMT,DRD2,0.924,Alzheimer's Disease
COMT,DBH,0.979,Alzheimer's Disease
COMT,MAOB,0.996,Alzheimer's Disease
DRD2,MTHFR,0.418,Alzheimer's Disease
DRD2,PRKCB,0.419,Alzheimer's Disease
DRD2,CPX-4101,0.429,Alzheimer's Disease
DRD2,DAOA,0.433,Alzheimer's Disease
DRD2,CAMK2A,0.447,Alzheimer's Disease
DRD2,DRD3,0.451,Alzheimer's Disease
DRD2,PIP4K2A,0.509,Alzheimer's Disease
DRD2,RGS4,0.525,Alzheimer's Disease
DRD2,AGTR1,0.559,Alzheimer's Disease
DRD2,CPX-117,0.596,Alzheimer's Disease
DRD2,CXCR4,0.596,Alzheimer's Disease
DRD2,GRM2,0.616,Alzheimer's Disease
DRD2,CPX-168,0.633,Alzheimer's Disease
